GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stationSki,com.example.stationski.services,SkieurService,109,0,0,0,22,0,6,0,6,0
stationSki,com.example.stationski.services,PisteServicesImpl,4,25,0,0,1,5,1,4,1,4
stationSki,com.example.stationski.services,InscriptionService,157,0,12,0,29,0,12,0,6,0
stationSki,com.example.stationski.services,CoursService,10,0,0,0,2,0,2,0,2,0
stationSki,com.example.stationski.services,AbonnementService,24,0,0,0,4,0,4,0,4,0
stationSki,com.example.stationski.services,MoniteurServiceImpl,153,0,2,0,24,0,11,0,10,0
stationSki,com.example.stationski.configs,PerformanceAspect,29,0,0,0,7,0,3,0,3,0
stationSki,com.example.stationski.configs,OpenAPIConfig,50,0,0,0,14,0,5,0,5,0
stationSki,com.example.stationski.configs,LoggingAspect,69,0,0,0,14,0,6,0,6,0
stationSki,com.example.stationski.configs,UtilityFonction,16,0,4,0,5,0,4,0,2,0
stationSki,com.example.stationski.controllers,AbonnementController,19,0,0,0,4,0,3,0,3,0
stationSki,com.example.stationski.controllers,MoniteurRestController,47,0,0,0,13,0,8,0,8,0
stationSki,com.example.stationski.controllers,SkieurController,29,0,0,0,7,0,4,0,4,0
stationSki,com.example.stationski.controllers,InscriptionController,27,0,0,0,5,0,4,0,4,0
stationSki,com.example.stationski,StationSkiApplication,8,0,0,0,3,0,2,0,2,0
stationSki,com.example.stationski.entities,Inscription,56,0,0,0,8,0,12,0,12,0
stationSki,com.example.stationski.entities,TypeCours,34,0,0,0,2,0,1,0,1,0
stationSki,com.example.stationski.entities,Abonnement,66,0,0,0,9,0,14,0,14,0
stationSki,com.example.stationski.entities,Cours,86,0,0,0,11,0,18,0,18,0
stationSki,com.example.stationski.entities,Support,24,0,0,0,2,0,1,0,1,0
stationSki,com.example.stationski.entities,Piste,45,21,0,0,8,1,13,1,13,1
stationSki,com.example.stationski.entities,Moniteur,80,0,0,0,11,0,17,0,17,0
stationSki,com.example.stationski.entities,Moniteur.MoniteurBuilder,98,0,0,0,1,0,10,0,10,0
stationSki,com.example.stationski.entities,Skieur.SkieurBuilder,122,0,0,0,1,0,12,0,12,0
stationSki,com.example.stationski.entities,TypeAbonnement,34,0,0,0,2,0,1,0,1,0
stationSki,com.example.stationski.entities,Color,0,44,0,0,0,2,0,1,0,1
stationSki,com.example.stationski.entities,Skieur,100,0,0,0,13,0,21,0,21,0
